"datetime_utc","wxtype","visibility","temperature","wind_speed","wind_direction","wind_gust","pressure","station_name","station_number","lat","lon","report_datetime_utc","datetime_local"
"31/07/2013 12:01:00","8","50000","21.6000003814697","17","202.5","","1014","CHIVENOR","3707","51.0890007019043","-4.14900016784668","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","8","28000","18.1000003814697","16","225","","1014","LISCOMBE","3710","51.0870018005371","-3.60800004005432","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","11","9000","19.3999996185303","9","270","","1014","ST-ATHAN","3716","51.4049987792969","-3.44000005722046","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","8","","19.6000003814697","9","202.5","","1015","LYNEHAM","3740","51.503101348877","-1.99240005016327","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","7","30000","19.3999996185303","10","225","","1015","LARKHILL","3743","51.201000213623","-1.80499994754791","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","11","20000","18.5","14","202.5","","1016","BOSCOMBE DOWN","3746","51.1609992980957","-1.75399994850159","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","8","18000","18.7000007629395","15","202.5","","1016","ODIHAM","3761","51.2379989624023","-0.944000005722046","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","8","24000","19.6000003814697","13","247.5","","1016","FARNBOROUGH","3768","51.2789993286133","-0.772000014781952","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","8","21000","18.8999996185303","10","202.5","","1016","CHARLWOOD","3769","51.1500015258789","-0.233300000429153","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","7","22000","21.2000007629395","17","202.5","","1015","HEATHROW","3772","51.4790000915527","-0.449000000953674","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","8","30000","18.2999992370605","14","225","","1016","KENLEY","3781","51.3030014038086","-0.0900000035762787","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","","","20.5","10","225","","1016","GRAVESEND-BROADNESS","3784","51.4640007019043","0.314000010490417","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","","","16.3999996185303","10","225","","1017","LANGDON BAY","3796","51.132999420166","1.34800004959106","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","7","30000","20.2000007629395","16","202.5","","1017","MANSTON","3797","51.3422012329102","1.34609997272491","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","8","4400","18.2999992370605","25","202.5","29","1014","SCILLY ST MARYS","3803","49.9129981994629","-6.30100011825562","31/07/2013 11:00:00","31/07/2013 12:00:00"
